Arpu,Bytes,CLV,Gameqoo,Hari_Ps,Indibox,Is_Churn2,Is_Churn3,Is_Churn,Is_Usage_Inet,Is_Usage_Voice,Jml_Tiket,Kwadran_Indihome,Lart,List_Asset,Ltarif,Minipack,Number of Records,Plblcl,PLC,Product,Range_Umur,Speed,Stb2,Stb3,STO,Techno,Upgrade_Speed,Usage,Wifi_Ext
806995,499699514,58103640,0,7/17/2014 12:00:00 AM,0,NON CHURN,0,0,1,0,0,4,C17048 = CS17-Program Upgrade Speed Baru,7,C17048-INETF30M-Upgrade Speed Baru 450000,1,1,PL,0,3P (POTS-INTERNET-IPTV),g. 7-8 thn,30720,0,0,KRG,FIBER,0,< 20GB,0
407000,60055512742,21978000,0,1/25/2016 12:00:00 AM,0,NON CHURN,0,0,1,0,0,4,C15004 = CS - FTTH New Indihome Internet Super Winning Z1,4,INETR10M : New Pemenangan 210000,0,1,PL,0,3P (POTS-INTERNET-IPTV),f. 5-6 thn,10240,0,0,MKR,FIBER,0,20GB-100 GB,0
43120,,733040,0,02/02/2019 00:00,0,NON CHURN,0,0,0,0,0,2,Telkom Data Internet,1,NEWHOMEWF-Standard (Internet) 0,0,1,PL,0,2P-NETIZEN (POTS-INTERNET),d. 1-2 thn,10240,0,0,CPA,NON FIBER,0,NO USAGE,0
487196,1.06381E+11,6820744,0,05/04/2019 00:00,0,NON CHURN,0,0,1,0,4,4,C19044 = CS19 - IndiHome New Netizen 2 (INET + OTT),7,C19044-INETF10M-210k 210000,0,1,PL,0,3P (POTS-INTERNET-IPTV),d. 1-2 thn,10240,0,0,KBY,FIBER,0,100GB-200GB,0
575300,3.06116E+11,35093300,0,6/23/2015 12:00:00 AM,0,NON CHURN,0,0,1,0,6,4,INDI25 = New Indihome Pemenangan Internet Super Winning Z1,6,INDI25-INETR10M1-IndiHome Pemenangan 250000,2,1,PL,0,3P (POTS-INTERNET-IPTV),f. 5-6 thn,10240,0,0,PLM,FIBER,0,>200 GB,0
597232,3.57191E+11,26875440,0,10/15/2016 12:00:00 AM,0,NON CHURN,0,0,1,0,0,4,C16097 = CS16 - INTERNET indiHOME Deluxe w/ Movin,8,C16097 - INETF10M - Standard 245000,2,1,PL,0,3P (POTS-INTERNET-IPTV),e. 3-4 thn,10240,0,0,BGG,FIBER,0,>200 GB,0
358210,25516936817,12179140,0,9/24/2017 12:00:00 AM,0,NON CHURN,0,0,1,0,1,4,C19156 = CS19 - Program Upgrade IndiHome - INET,6,C19156-INETF20M-Upgrade IndiHome Opsi 1_210k 210000,0,1,PL,0,3P (POTS-INTERNET-IPTV),e. 3-4 thn,10240,0,0,CLD,FIBER,0,20GB-100 GB,0
346500,25709635290,5890500,0,2/27/2019 12:00:00 AM,0,NON CHURN,0,0,1,0,2,4,C17052 = CS17 - New Indihome Netizen II INET ( without MOVIN),4,C17052-INETF10M-NETIZEN II 195000,0,1,PL,0,3P (POTS-INTERNET-IPTV),d. 1-2 thn,10240,0,0,PKY,FIBER,0,20GB-100 GB,0
566500,76612623994,10763500,0,12/27/2018 12:00:00 AM,0,CHURN,1,0,1,0,0,4,C18166 = CS18 - Sensasi Extra Akhir Tahun 2018 Internet,7,C18166-INETFL20M-280k 280000,1,1,PL,0,3P (POTS-INTERNET-IPTV),d. 1-2 thn,20480,0,0,CLD,FIBER,0,20GB-100 GB,0
378081,3.5299E+11,8695863,0,8/29/2018 12:00:00 AM,0,NON CHURN,0,0,1,0,4,4,C19184 = CS19 - IndiHome Fit INET,5,C19184-INETF20M-200k 200000,0,1,PL,0,3P (POTS-INTERNET-IPTV),d. 1-2 thn,10240,0,0,PGG,FIBER,0,>200 GB,0
665500,1.14241E+11,21296000,0,11/07/2017 00:00,0,NON CHURN,0,0,1,0,0,4,C17048 = CS17-Program Upgrade Speed Baru,6,C17048-INETF30M-Upgrade Speed Baru 450000,1,1,PL,0,3P (POTS-INTERNET-IPTV),e. 3-4 thn,30720,0,0,PKY,FIBER,0,100GB-200GB,0
489500,3.31667E+11,16153500,0,10/23/2017 12:00:00 AM,0,NON CHURN,0,0,1,0,1,4,C17045 = CS17- Indihome Kemerdekaan (INTERNET),4,C17045-INETF20M-PROMO KEMERDEKAAN 290000,0,1,PL,0,3P (POTS-INTERNET-IPTV),e. 3-4 thn,20480,0,0,CBB,FIBER,0,>200 GB,0
363000,77863936899,6534000,0,1/26/2019 12:00:00 AM,0,CHURN,1,0,1,0,0,4,C18166 = CS18 - Sensasi Extra Akhir Tahun 2018 Internet,6,C18166-INETFL10M-210k 210000,0,1,PL,0,3P (POTS-INTERNET-IPTV),d. 1-2 thn,10240,0,0,KLB,FIBER,0,20GB-100 GB,0
151690,69627686363,10011540,0,12/31/2014 12:00:00 AM,0,NON CHURN,0,0,1,0,1,4,SPDF10 = Internet Fixed Pricing Winning Zone 1,2,SPDF10-INETR1M1-Fixed Pricing26104 195000,0,1,PL,0,2P-NETIZEN (POTS-INTERNET),f. 5-6 thn,1024,0,0,CPD,FIBER,0,20GB-100 GB,0
575300,33162038051,22436700,0,4/17/2017 12:00:00 AM,0,NON CHURN,0,0,1,0,1,4,C17029 = CS17 - New Indihome Lower Value INET,2,C17029-INETF10M-Revisi 1 190000,0,1,PL,0,3P (POTS-INTERNET-IPTV),e. 3-4 thn,10240,0,0,LKG,FIBER,0,20GB-100 GB,0
221612,,16842512,0,3/25/2014 12:00:00 AM,0,NON CHURN,0,0,1,0,1,4,INDI10 = New IndiHOME Internet Winning Zone 1,2,INDI10-INETR2M1- New IndiHOME20958 250000,0,1,PL,0,2P-NETIZEN (POTS-INTERNET),g. 7-8 thn,3072,0,0,TBE,FIBER,0,NO USAGE,0
863500,99791337,40584500,0,8/18/2016 12:00:00 AM,0,NON CHURN,0,0,1,0,0,4,C17048 = CS17-Program Upgrade Speed Baru,4,C17048-INETF40M-Upgrade Speed Baru 550000,0,1,PL,0,3P (POTS-INTERNET-IPTV),e. 3-4 thn,40960,0,0,KBY,FIBER,0,< 20GB,0
407711,1.43858E+11,4892532,0,7/19/2019 12:00:00 AM,0,CHURN,1,0,1,0,0,4,C19044 = CS19 - IndiHome New Netizen 2 (INET + OTT),10,C19044-INETF10M-210k 210000,1,1,PL,0,3P (POTS-INTERNET-IPTV),d. 1-2 thn,10240,0,0,JTN,FIBER,0,100GB-200GB,0
343484,1.40107E+11,12021940,0,7/31/2017 12:00:00 AM,0,NON CHURN,0,0,1,0,4,4,C19156 = CS19 - Program Upgrade IndiHome - INET,5,C19156-INETF20M-Upgrade IndiHome Opsi 1_210k 210000,0,1,PL,0,3P (POTS-INTERNET-IPTV),e. 3-4 thn,20480,0,0,GBC,FIBER,0,100GB-200GB,0
506000,85997743787,10120000,0,11/21/2018 12:00:00 AM,0,CHURN,1,0,1,0,0,4,C17052 = CS17 - New Indihome Netizen II INET ( without MOVIN),6,C17052-INETF10M-NETIZEN II 195000,2,1,PL,0,3P (POTS-INTERNET-IPTV),d. 1-2 thn,10240,0,0,PKY,FIBER,0,20GB-100 GB,0
229405,1.21558E+11,3211670,0,5/22/2019 12:00:00 AM,0,CHURN,1,0,1,0,0,4,C19061 = CS19 - IndiHome Value Varian Baru INET + OTT,7,C19061-INETF10M-200k 200000,0,1,PL,0,3P (POTS-INTERNET-IPTV),d. 1-2 thn,10240,0,0,BJO,NON FIBER,0,100GB-200GB,0
613668,85289009315,14114364,0,08/04/2018 00:00,0,NON CHURN,0,0,1,0,5,4,C17048 = CS17-Program Upgrade Speed Baru,10,C17048-INETF30M-Upgrade Speed Baru 450000,2,1,PL,0,3P (POTS-INTERNET-IPTV),d. 1-2 thn,30720,0,0,KRG,FIBER,0,20GB-100 GB,0
420200,98274003247,6303000,0,4/14/2019 12:00:00 AM,0,CHURN,1,0,1,0,0,4,C19027 = CS19 - IndiHome Value INET + OTT,9,C19027-INETF10M-200k 200000,1,1,PL,0,3P (POTS-INTERNET-IPTV),d. 1-2 thn,10240,0,0,KSB,FIBER,0,20GB-100 GB,0
539000,72660533087,12936000,0,07/03/2018 00:00,0,CHURN,1,0,1,0,0,4,C18024 = CS18 - New Internet Indihome Penuh Berkah,6,C18024-INETFL30M-370k 370000,0,1,PL,0,3P (POTS-INTERNET-IPTV),e. 3-4 thn,30720,0,0,KTZ,FIBER,0,20GB-100 GB,0
440000,1.5072E+11,8360000,0,12/13/2018 12:00:00 AM,0,CHURN,1,0,1,0,5,4,C18166 = CS18 - Sensasi Extra Akhir Tahun 2018 Internet,6,C18166-INETFL20M-280k 280000,1,1,PL,0,3P (POTS-INTERNET-IPTV),d. 1-2 thn,20480,0,0,KLD,FIBER,0,100GB-200GB,0
456500,44237681261,11412500,0,06/01/2018 00:00,0,CHURN,1,0,1,0,0,4,C18024 = CS18 - New Internet Indihome Penuh Berkah,6,C18024-INETFL20M-280k 280000,0,1,PL,0,3P (POTS-INTERNET-IPTV),e. 3-4 thn,20480,0,0,CKG,FIBER,0,20GB-100 GB,0
82500,3.39452E+11,1155000,0,5/27/2019 12:00:00 AM,0,CHURN,1,0,1,0,0,4,C19027 = CS19 - IndiHome Value INET + OTT,9,C19027-INETF20M-290k 290000,1,1,PL,0,3P (POTS-INTERNET-IPTV),d. 1-2 thn,20480,0,0,JTN,FIBER,0,>200 GB,0
346500,31158233254,5197500,0,04/01/2019 00:00,0,CHURN,1,0,1,0,0,4,C17052 = CS17 - New Indihome Netizen II INET ( without MOVIN),4,C17052-INETF10M-NETIZEN II 195000,0,1,PL,0,3P (POTS-INTERNET-IPTV),d. 1-2 thn,10240,0,0,TPR,FIBER,0,20GB-100 GB,0
82500,1.56823E+11,1072500,0,5/30/2019 12:00:00 AM,0,CHURN,1,0,1,0,0,4,C19027 = CS19 - IndiHome Value INET + OTT,9,C19027-INETF20M-290k 290000,1,1,PL,0,3P (POTS-INTERNET-IPTV),d. 1-2 thn,20480,0,0,JTN,FIBER,0,100GB-200GB,0
346500,59124643899,5544000,0,03/12/2019 00:00,0,CHURN,1,0,1,0,0,4,C17052 = CS17 - New Indihome Netizen II INET ( without MOVIN),4,C17052-INETF10M-NETIZEN II 195000,0,1,PL,0,3P (POTS-INTERNET-IPTV),d. 1-2 thn,10240,0,0,CLD,FIBER,0,20GB-100 GB,0
385000,,6545000,0,2/20/2019 12:00:00 AM,0,CHURN,1,0,0,0,0,2,C18024 = CS18 - New Internet Indihome Penuh Berkah,7,C18024-INETFL10M-210k 210000,1,1,PL,0,3P (POTS-INTERNET-IPTV),d. 1-2 thn,10240,0,0,JTN,FIBER,0,NO USAGE,0
5500,,291500,0,2/22/2016 12:00:00 AM,0,CHURN,1,1,0,0,0,2,C16007 = CS16 - INTERNET indiHOME Fiber,5,C16007-INETF10M-Standard 245000,1,1,PL,0,3P (POTS-INTERNET-IPTV),f. 5-6 thn,10240,0,0,TGA,FIBER,0,NO USAGE,0
583000,3.48274E+11,22154000,0,5/26/2017 12:00:00 AM,0,CHURN,1,0,1,0,0,4,C17048 = CS17-Program Upgrade Speed Baru,6,C17048-INETF20M-Upgrade Speed Baru 290000,1,1,PL,0,3P (POTS-INTERNET-IPTV),e. 3-4 thn,20480,0,0,KRG,FIBER,0,>200 GB,0
478500,89035593708,7656000,0,03/04/2019 00:00,0,CHURN,1,0,1,0,0,4,C18024 = CS18 - New Internet Indihome Penuh Berkah,7,C18024-INETFL20M-280k 280000,1,1,PL,0,3P (POTS-INTERNET-IPTV),d. 1-2 thn,20480,0,0,MRY,FIBER,0,20GB-100 GB,0
429001,43016754638,6006014,0,05/05/2019 00:00,0,CHURN,1,0,1,0,0,4,C17052 = CS17 - New Indihome Netizen II INET ( without MOVIN),5,C17052-INETF20M-NETIZEN II 295000,0,1,PL,0,3P (POTS-INTERNET-IPTV),d. 1-2 thn,20480,0,0,KTZ,FIBER,0,20GB-100 GB,0
208824,92956877919,2923536,0,5/24/2019 12:00:00 AM,0,CHURN,1,0,1,0,0,4,C19026 = CS19 - IndiHome Value INET tanpa OTT,5,C19026-INETF10M-200k 200000,1,1,PL,0,3P (POTS-INTERNET-IPTV),d. 1-2 thn,10240,0,0,BEK,NON FIBER,0,20GB-100 GB,0
424741,1.17614E+11,13591712,0,11/01/2017 00:00,0,CHURN,1,0,1,0,0,4,C17052 = CS17 - New Indihome Netizen II INET ( without MOVIN),5,C17052-INETF10M-NETIZEN II 195000,0,1,PL,0,3P (POTS-INTERNET-IPTV),e. 3-4 thn,10240,0,0,STR,FIBER,0,100GB-200GB,0
0,,0,0,03/05/2015 00:00,0,CHURN,1,1,0,0,0,1,C16116 = Netizen Dinamic Price 2P INTERNET,3,C16116 - INETR3M3 - Standard 208000,0,1,PL,0,2P-NETIZEN (POTS-INTERNET),f. 5-6 thn,3072,0,0,KTX,NON FIBER,0,NO USAGE,0
426872,1.91173E+11,13233032,0,12/06/2017 00:00,0,NON CHURN,0,0,1,0,0,4,C17052 = CS17 - New Indihome Netizen II INET ( without MOVIN),5,C17052-INETF10M-NETIZEN II 195000,0,1,PL,0,3P (POTS-INTERNET-IPTV),e. 3-4 thn,20480,0,0,CLG,FIBER,0,100GB-200GB,0
35860,,502040,0,5/20/2019 12:00:00 AM,0,NON CHURN,0,0,0,0,0,2,Telkom Data Internet,1,NEWHOMEWF-Standard (Internet) 0,0,1,PL,0,2P-NETIZEN (POTS-INTERNET),d. 1-2 thn,10240,0,0,KLB,FIBER,0,NO USAGE,0
401500,14098600034,10840500,0,3/30/2018 12:00:00 AM,0,CHURN,1,0,1,0,0,4,C18010 = CS18 - Indihome Khusus Imlek INET,7,C18010-INETFL10M-250K 250000,1,1,PL,0,3P (POTS-INTERNET-IPTV),e. 3-4 thn,10240,0,0,GAN,FIBER,0,< 20GB,0
412500,54032216517,10725000,0,05/08/2018 00:00,0,NON CHURN,0,0,1,0,1,4,C18010 = CS18 - Indihome Khusus Imlek INET,6,C18010-INETFL20M-280K 280000,1,1,PL,0,3P (POTS-INTERNET-IPTV),e. 3-4 thn,20480,0,0,MKR,FIBER,0,20GB-100 GB,0
343270,59074001143,10298100,0,1/18/2018 12:00:00 AM,0,NON CHURN,0,0,1,0,2,4,C17086 = CS17 - IndiHome Promo NaRu 2017 (INET),5,C17086-INETFL10M-Standard 180000,1,1,PL,0,3P (POTS-INTERNET-IPTV),e. 3-4 thn,10240,0,0,SEG,FIBER,0,20GB-100 GB,0
286000,4692734477,4290000,0,4/18/2019 12:00:00 AM,0,CHURN,1,0,1,0,0,4,C17085 = CS17 - Indihome ODP Hijau Hitam Inet 10 Mbps Lower Value,4,C17085-INETFL10M-Standard 180000,0,1,PL,0,3P (POTS-INTERNET-IPTV),d. 1-2 thn,10240,0,0,SEG,FIBER,0,< 20GB,0
263055,28397105272,33671040,0,11/23/2009 12:00:00 AM,0,CHURN,1,0,1,0,0,4,C16116 = Netizen Dinamic Price 2P INTERNET,3,C16116 - INETR1M3 - Dinamic Price 208000,0,1,PL,0,2P-NETIZEN (POTS-INTERNET),i. 11-15 thn,1024,0,0,CLD,NON FIBER,0,20GB-100 GB,0
631081,3.64086E+11,13883782,0,8/30/2018 12:00:00 AM,0,NON CHURN,0,0,1,0,0,4,C17024 = CS17 - New Indihome Deluxe INET,10,C17024-INETF10M-Standard 190000,3,1,PL,0,3P (POTS-INTERNET-IPTV),d. 1-2 thn,10240,1,0,PSM,FIBER,0,>200 GB,0
349330,1.17885E+11,22706450,0,2/26/2015 12:00:00 AM,0,NON CHURN,0,0,1,0,1,4,C17029 = CS17 - New Indihome Lower Value INET,5,C17029-INETF10M-Revisi 1 190000,0,1,PL,0,3P (POTS-INTERNET-IPTV),f. 5-6 thn,10240,0,0,GDS,FIBER,0,100GB-200GB,0
379500,79473056266,13662000,0,7/28/2017 12:00:00 AM,0,NON CHURN,0,0,1,0,1,4,C17029 = CS17 - New Indihome Lower Value INET,4,C17029-INETF10M-Revisi 1 190000,0,1,PL,0,3P (POTS-INTERNET-IPTV),e. 3-4 thn,10240,0,0,BEK,FIBER,0,20GB-100 GB,0
485064,4.00853E+11,7761024,0,03/06/2019 00:00,0,NON CHURN,0,0,1,0,2,4,C18132 = CS18 - IndiHome Quadplay Kuadran 3 - 20 Mbps (INET),5,C18132-INETFL20M-280k 280000,1,1,PL,0,3P (POTS-INTERNET-IPTV),d. 1-2 thn,20480,0,0,CID,FIBER,0,>200 GB,0
0,,0,0,8/18/2018 12:00:00 AM,0,CHURN,1,0,0,0,0,1,C18074 = CS18 - Internet Paket Merdeka 2018 diatas 20M,6,C18074-INETF30M-370k 370000,1,1,PL,0,3P (POTS-INTERNET-IPTV),d. 1-2 thn,30720,0,0,TGA,FIBER,0,NO USAGE,0
1227394,3.12941E+11,65051882,0,2/16/2016 12:00:00 AM,0,NON CHURN,0,0,1,0,8,4,C19156 = CS19 - Program Upgrade IndiHome - INET,8,C19156-INETF100M-Upgrade IndiHome 750000,1,1,PL,0,3P (POTS-INTERNET-IPTV),f. 5-6 thn,51200,1,1,KLD,FIBER,0,>200 GB,0
832301,6620402215,20807525,0,06/01/2018 00:00,0,CHURN,1,0,1,0,0,4,C17048 = CS17-Program Upgrade Speed Baru,7,C17048-INETF40M-Upgrade Speed Baru 550000,1,1,PL,0,3P (POTS-INTERNET-IPTV),e. 3-4 thn,40960,0,0,CPP,FIBER,0,< 20GB,0
144135,64208423265,10521855,0,06/01/2014 00:00,0,NON CHURN,0,0,1,0,2,4,HSSP05 = Paket untuk HSSP Paket 384 &amp; 512 Kbps,3,INETR1M3 : HSSP Rp. 65.000 65000,0,1,PL,0,2P-NETIZEN (POTS-INTERNET),g. 7-8 thn,1024,0,0,PSM,FIBER,0,20GB-100 GB,0
379500,1.26889E+11,8728500,0,08/09/2018 17:27,0,NON CHURN,0,0,1,0,3,4,C17052 = CS17 - New Indihome Netizen II INET ( without MOVIN),6,C17052-INETF10M-NETIZEN II 195000,1,1,PL,0,3P (POTS-INTERNET-IPTV),d. 1-2 thn,10240,0,0,CLS,FIBER,0,100GB-200GB,0
430241,7.34439E+11,16349158,0,05/08/2017 00:00,0,NON CHURN,0,0,1,0,0,4,C15037 = CS - NON FTTH New Indihome Internet Winning Z1,6,C15037-INETR5M1-New Pemenangan 150000,0,1,PL,0,3P (POTS-INTERNET-IPTV),e. 3-4 thn,5120,0,0,KAL,NON FIBER,0,>200 GB,0
374000,53027958941,13090000,0,8/28/2017 12:00:00 AM,0,NON CHURN,0,0,1,0,5,4,C18166 = CS18 - Sensasi Extra Akhir Tahun 2018 Internet,5,C18166-INETFL10M-210k 210000,0,1,PL,0,3P (POTS-INTERNET-IPTV),e. 3-4 thn,10240,0,0,STR,FIBER,0,20GB-100 GB,0
363000,85292285269,6897000,0,12/27/2018 12:00:00 AM,0,NON CHURN,0,0,1,0,2,4,C17052 = CS17 - New Indihome Netizen II INET ( without MOVIN),4,C17052-INETF10M-NETIZEN II 195000,0,1,PL,0,3P (POTS-INTERNET-IPTV),d. 1-2 thn,10240,0,0,KLB,FIBER,0,20GB-100 GB,0
46860,,2014980,0,12/18/2016 12:00:00 AM,0,NON CHURN,0,0,0,0,0,2,MBSP01 = Upgrade MBSP dari 1P ke Indihome,5,MBSP01 - INETMBQ50 - Free 0,0,1,PL,0,3P (POTS-INTERNET-IPTV),e. 3-4 thn,10240,0,0,CPP,FIBER,1,NO USAGE,0
269500,24892657488,17248000,0,3/29/2015 12:00:00 AM,0,NON CHURN,0,0,1,0,2,4,C17041 = CS17 - New Indihome Lower Value INET KARYAWAN,4,C17041-INETF10M-KARYAWAN 190000,0,1,PL,0,3P (POTS-INTERNET-IPTV),f. 5-6 thn,10240,0,0,KRG,NON FIBER,0,20GB-100 GB,0
649000,53259126731,29854000,0,9/17/2016 12:00:00 AM,0,NON CHURN,0,0,1,0,1,4,C19175 = CS19 - IndiHome Prestige INET,7,C19175-INETF20M-230k 230000,0,1,PL,0,3P (POTS-INTERNET-IPTV),e. 3-4 thn,10240,0,0,CIL,FIBER,0,20GB-100 GB,0
272772,2681480875,33550956,0,04/09/2010 00:00,0,NON CHURN,0,0,1,0,1,4,C16116 = Netizen Dinamic Price 2P INTERNET,3,C16116 - INETR3M3 - Standard 208000,0,1,PL,0,2P-NETIZEN (POTS-INTERNET),i. 11-15 thn,3072,0,0,MRY,FIBER,0,< 20GB,0
