"Arpu","Bytes","CLV","Indibox","Is_Churn2","Is_Usage_Inet","Jml_Tiket","Kwadran_Indihome","Lart","List_Asset","Ltarif","Minipack","PLC","Product","Range_Umur","Speed","Stb2","STO","Techno","Upgrade_Speed","Usage","Wifi_Ext"
583000,348274000000,22154000,0,"CHURN",1,0,4,"C17048 = CS17-Program Upgrade Speed Baru",6,"C17048-INETF20M-Upgrade Speed Baru 290000",1,0,"3P (POTS-INTERNET-IPTV)","e. 3-4 thn",20480,0,"KRG","FIBER",0,">200 GB",0
478500,89035593708,7656000,0,"CHURN",1,0,4,"C18024 = CS18 - New Internet Indihome Penuh Berkah",7,"C18024-INETFL20M-280k 280000",1,0,"3P (POTS-INTERNET-IPTV)","d. 1-2 thn",20480,0,"MRY","FIBER",0,"20GB-100 GB",0
429001,43016754638,6006014,0,"CHURN",1,0,4,"C17052 = CS17 - New Indihome Netizen II INET ( without MOVIN)",5,"C17052-INETF20M-NETIZEN II 295000",0,0,"3P (POTS-INTERNET-IPTV)","d. 1-2 thn",20480,0,"KTZ","FIBER",0,"20GB-100 GB",0
208824,92956877919,2923536,0,"CHURN",1,0,4,"C19026 = CS19 - IndiHome Value INET tanpa OTT",5,"C19026-INETF10M-200k 200000",1,0,"3P (POTS-INTERNET-IPTV)","d. 1-2 thn",10240,0,"BEK","NON FIBER",0,"20GB-100 GB",0
424741,117614000000,13591712,0,"CHURN",1,0,4,"C17052 = CS17 - New Indihome Netizen II INET ( without MOVIN)",5,"C17052-INETF10M-NETIZEN II 195000",0,0,"3P (POTS-INTERNET-IPTV)","e. 3-4 thn",10240,0,"STR","FIBER",0,"100GB-200GB",0
426872,191173000000,13233032,0,"NON CHURN",1,0,4,"C17052 = CS17 - New Indihome Netizen II INET ( without MOVIN)",5,"C17052-INETF10M-NETIZEN II 195000",0,0,"3P (POTS-INTERNET-IPTV)","e. 3-4 thn",20480,0,"CLG","FIBER",0,"100GB-200GB",0
401500,14098600034,10840500,0,"CHURN",1,0,4,"C18010 = CS18 - Indihome Khusus Imlek INET",7,"C18010-INETFL10M-250K 250000",1,0,"3P (POTS-INTERNET-IPTV)","e. 3-4 thn",10240,0,"GAN","FIBER",0,"< 20GB",0
412500,54032216517,10725000,0,"NON CHURN",1,1,4,"C18010 = CS18 - Indihome Khusus Imlek INET",6,"C18010-INETFL20M-280K 280000",1,0,"3P (POTS-INTERNET-IPTV)","e. 3-4 thn",20480,0,"MKR","FIBER",0,"20GB-100 GB",0
343270,59074001143,10298100,0,"NON CHURN",1,2,4,"C17086 = CS17 - IndiHome Promo NaRu 2017 (INET)",5,"C17086-INETFL10M-Standard 180000",1,0,"3P (POTS-INTERNET-IPTV)","e. 3-4 thn",10240,0,"SEG","FIBER",0,"20GB-100 GB",0
263055,28397105272,33671040,0,"CHURN",1,0,4,"C16116 = Netizen Dinamic Price 2P INTERNET",3,"C16116 - INETR1M3 - Dinamic Price 208000",0,0,"2P-NETIZEN (POTS-INTERNET)","i. 11-15 thn",1024,0,"CLD","NON FIBER",0,"20GB-100 GB",0
631081,364086000000,13883782,0,"NON CHURN",1,0,4,"C17024 = CS17 - New Indihome Deluxe INET",10,"C17024-INETF10M-Standard 190000",3,0,"3P (POTS-INTERNET-IPTV)","d. 1-2 thn",10240,1,"PSM","FIBER",0,">200 GB",0
349330,117885000000,22706450,0,"NON CHURN",1,1,4,"C17029 = CS17 - New Indihome Lower Value INET",5,"C17029-INETF10M-Revisi 1 190000",0,0,"3P (POTS-INTERNET-IPTV)","f. 5-6 thn",10240,0,"GDS","FIBER",0,"100GB-200GB",0
379500,79473056266,13662000,0,"NON CHURN",1,1,4,"C17029 = CS17 - New Indihome Lower Value INET",4,"C17029-INETF10M-Revisi 1 190000",0,0,"3P (POTS-INTERNET-IPTV)","e. 3-4 thn",10240,0,"BEK","FIBER",0,"20GB-100 GB",0
485064,400853000000,7761024,0,"NON CHURN",1,2,4,"C18132 = CS18 - IndiHome Quadplay Kuadran 3 - 20 Mbps (INET)",5,"C18132-INETFL20M-280k 280000",1,0,"3P (POTS-INTERNET-IPTV)","d. 1-2 thn",20480,0,"CID","FIBER",0,">200 GB",0
1227394,312941000000,65051882,0,"NON CHURN",1,8,4,"C19156 = CS19 - Program Upgrade IndiHome - INET",8,"C19156-INETF100M-Upgrade IndiHome 750000",1,0,"3P (POTS-INTERNET-IPTV)","f. 5-6 thn",51200,1,"KLD","FIBER",0,">200 GB",0
832301,6620402215,20807525,0,"CHURN",1,0,4,"C17048 = CS17-Program Upgrade Speed Baru",7,"C17048-INETF40M-Upgrade Speed Baru 550000",1,0,"3P (POTS-INTERNET-IPTV)","e. 3-4 thn",40960,0,"CPP","FIBER",0,"< 20GB",0
144135,64208423265,10521855,0,"NON CHURN",1,2,4,"HSSP05 = Paket untuk HSSP Paket 384 &amp; 512 Kbps",3,"INETR1M3 : HSSP Rp. 65.000 65000",0,0,"2P-NETIZEN (POTS-INTERNET)","g. 7-8 thn",1024,0,"PSM","FIBER",0,"20GB-100 GB",0
379500,126889000000,8728500,0,"NON CHURN",1,3,4,"C17052 = CS17 - New Indihome Netizen II INET ( without MOVIN)",6,"C17052-INETF10M-NETIZEN II 195000",1,0,"3P (POTS-INTERNET-IPTV)","d. 1-2 thn",10240,0,"CLS","FIBER",0,"100GB-200GB",0
430241,734439000000,16349158,0,"NON CHURN",1,0,4,"C15037 = CS - NON FTTH New Indihome Internet Winning Z1",6,"C15037-INETR5M1-New Pemenangan 150000",0,0,"3P (POTS-INTERNET-IPTV)","e. 3-4 thn",5120,0,"KAL","NON FIBER",0,">200 GB",0
374000,53027958941,13090000,0,"NON CHURN",1,5,4,"C18166 = CS18 - Sensasi Extra Akhir Tahun 2018 Internet",5,"C18166-INETFL10M-210k 210000",0,0,"3P (POTS-INTERNET-IPTV)","e. 3-4 thn",10240,0,"STR","FIBER",0,"20GB-100 GB",0
363000,85292285269,6897000,0,"NON CHURN",1,2,4,"C17052 = CS17 - New Indihome Netizen II INET ( without MOVIN)",4,"C17052-INETF10M-NETIZEN II 195000",0,0,"3P (POTS-INTERNET-IPTV)","d. 1-2 thn",10240,0,"KLB","FIBER",0,"20GB-100 GB",0
269500,24892657488,17248000,0,"NON CHURN",1,2,4,"C17041 = CS17 - New Indihome Lower Value INET KARYAWAN",4,"C17041-INETF10M-KARYAWAN 190000",0,0,"3P (POTS-INTERNET-IPTV)","f. 5-6 thn",10240,0,"KRG","NON FIBER",0,"20GB-100 GB",0
649000,53259126731,29854000,0,"NON CHURN",1,1,4,"C19175 = CS19 - IndiHome Prestige INET",7,"C19175-INETF20M-230k 230000",0,0,"3P (POTS-INTERNET-IPTV)","e. 3-4 thn",10240,0,"CIL","FIBER",0,"20GB-100 GB",0
434672,80440765296,64331456,0,"NON CHURN",1,5,4,"C17032 = CS17 - New Indihome Netizen I INET (with MOVIN)",11,"C17032-INETF10M-Standard 195000",0,0,"3P (POTS-INTERNET-IPTV)","i. 11-15 thn",10240,0,"CWA","FIBER",0,"20GB-100 GB",0
440000,434425000000,8360000,0,"CHURN",1,0,4,"C18166 = CS18 - Sensasi Extra Akhir Tahun 2018 Internet",6,"C18166-INETFL20M-280k 280000",0,0,"3P (POTS-INTERNET-IPTV)","d. 1-2 thn",20480,0,"GDS","FIBER",0,">200 GB",0
445916,824890791,49496676,0,"CHURN",1,0,4,"SCRET1 = KNS_2012_PROGRAM_HSSP_RETENSI_1_2_3_MB",5,"SCRET1-INET1000S-PROGRAM HSSP RETENSI 1M 195000",0,0,"3P (POTS-INTERNET-IPTV)","h. 9-10 thn",10240,0,"CPE","FIBER",0,"< 20GB",0
363000,80994194267,6534000,0,"NON CHURN",1,2,4,"C18166 = CS18 - Sensasi Extra Akhir Tahun 2018 Internet",6,"C18166-INETFL10M-210k 210000",0,0,"3P (POTS-INTERNET-IPTV)","d. 1-2 thn",10240,0,"GBC","FIBER",0,"20GB-100 GB",0
268615,113826000000,3760610,0,"CHURN",0,0,4,"C19044 = CS19 - IndiHome New Netizen 2 (INET + OTT)",7,"C19044-INETF10M-210k 210000",0,0,"3P (POTS-INTERNET-IPTV)","d. 1-2 thn",10240,0,"KRG","FIBER",0,"100GB-200GB",0
194631,53691653675,2724834,0,"NON CHURN",0,7,4,"C19156 = CS19 - Program Upgrade IndiHome - INET",6,"C19156-INETF20M-Upgrade IndiHome Opsi 1_210k 210000",1,0,"3P (POTS-INTERNET-IPTV)","d. 1-2 thn",10240,0,"PKU","FIBER",0,"20GB-100 GB",0
385000,51815655713,10395000,0,"CHURN",1,1,4,"C19027 = CS19 - IndiHome Value INET + OTT",9,"C19027-INETF10M-200k 200000",1,0,"3P (POTS-INTERNET-IPTV)","e. 3-4 thn",10240,0,"DEP","FIBER",0,"20GB-100 GB",0
771100,184702000000,11566500,0,"CHURN",1,0,4,"C19027 = CS19 - IndiHome Value INET + OTT",10,"C19027-INETF30M-425k 425000",2,0,"3P (POTS-INTERNET-IPTV)","d. 1-2 thn",30720,0,"SLP","FIBER",0,"100GB-200GB",0
275000,1540037,4675000,0,"CHURN",1,0,4,"C17036 = CS17 - 1P Internet Only",3,"C17036-INETF10M-1P Inet Only 210000",0,0,"3P (POTS-INTERNET-IPTV)","d. 1-2 thn",10240,0,"KLD","FIBER",0,"< 20GB",0
82500,403590000000,1072500,0,"CHURN",0,0,2,"C19026 = CS19 - IndiHome Value INET tanpa OTT",5,"C19026-INETF10M-200k 200000",1,0,"3P (POTS-INTERNET-IPTV)","d. 1-2 thn",10240,0,"KLB","FIBER",0,">200 GB",0
396000,293506000000,5940000,0,"CHURN",1,0,4,"C19027 = CS19 - IndiHome Value INET + OTT",9,"C19027-INETF10M-200k 200000",1,0,"3P (POTS-INTERNET-IPTV)","d. 1-2 thn",10240,0,"GBC","FIBER",0,">200 GB",0
374000,1330913756,6358000,0,"CHURN",0,0,4,"C17079 = CS17-Join Promo Quad Play IndiHome - kartuHALO (INET-VALUE)",6,"C17079-INETFL10M-Value 180000",1,0,"3P (POTS-INTERNET-IPTV)","d. 1-2 thn",10240,0,"PKU","FIBER",0,"< 20GB",0
425984,72297744619,5963776,0,"CHURN",1,0,4,"C18052 = CS18 - Indihome Gamer INET",5,"C18052-INETC30M-490k 490000",0,0,"3P (POTS-INTERNET-IPTV)","d. 1-2 thn",30720,0,"JBB","FIBER",0,"20GB-100 GB",0
359452,259226000000,7548492,0,"CHURN",1,0,4,"C17052 = CS17 - New Indihome Netizen II INET ( without MOVIN)",6,"C17052-INETF20M-NETIZEN II 295000",1,0,"3P (POTS-INTERNET-IPTV)","d. 1-2 thn",20480,0,"DMG","FIBER",0,">200 GB",0
357500,202185000000,11082500,0,"CHURN",1,0,4,"C17086 = CS17 - IndiHome Promo NaRu 2017 (INET)",5,"C17086-INETFL10M-Standard 180000",1,0,"3P (POTS-INTERNET-IPTV)","e. 3-4 thn",10240,0,"BGG","FIBER",0,">200 GB",0
283800,1004994,31501800,0,"CHURN",1,0,4,"C16116 = Netizen Dinamic Price 2P INTERNET",4,"C16116 - INETR3M3 - Standard 208000",0,0,"2P-NETIZEN (POTS-INTERNET)","h. 9-10 thn",3072,0,"KBY","FIBER",0,"< 20GB",0
478500,196581000000,8134500,0,"CHURN",1,0,4,"C17085 = CS17 - Indihome ODP Hijau Hitam Inet 10 Mbps Lower Value",6,"C17085-INETFL10M-Standard 180000",2,0,"3P (POTS-INTERNET-IPTV)","d. 1-2 thn",10240,0,"PGB","FIBER",0,"100GB-200GB",0
609613,26181187753,8534582,0,"CHURN",1,0,4,"C17052 = CS17 - New Indihome Netizen II INET ( without MOVIN)",4,"C17052-INETF20M-NETIZEN II 295000",0,0,"3P (POTS-INTERNET-IPTV)","d. 1-2 thn",20480,0,"KLG","FIBER",0,"20GB-100 GB",0
341000,109651000000,4433000,0,"CHURN",1,0,4,"C17085 = CS17 - Indihome ODP Hijau Hitam Inet 10 Mbps Lower Value",6,"C17085-INETFL10M-Standard 180000",1,0,"3P (POTS-INTERNET-IPTV)","d. 1-2 thn",10240,0,"BEK","FIBER",0,"100GB-200GB",0
402325,11915595524,9253475,0,"CHURN",1,0,4,"C18024 = CS18 - New Internet Indihome Penuh Berkah",7,"C18024-INETFL10M-210k 210000",1,0,"3P (POTS-INTERNET-IPTV)","d. 1-2 thn",10240,0,"BGG","FIBER",0,"< 20GB",0
363000,142478000000,6171000,0,"NON CHURN",1,0,4,"C18166 = CS18 - Sensasi Extra Akhir Tahun 2018 Internet",6,"C18166-INETFL10M-210k 210000",0,0,"3P (POTS-INTERNET-IPTV)","d. 1-2 thn",10240,0,"GDS","FIBER",0,"100GB-200GB",0
379500,140965000000,9487500,0,"CHURN",1,0,4,"C18024 = CS18 - New Internet Indihome Penuh Berkah",6,"C18024-INETFL10M-210k 210000",1,0,"3P (POTS-INTERNET-IPTV)","e. 3-4 thn",10240,0,"JTN","FIBER",0,"100GB-200GB",0
71498,20690371327,5433848,0,"CHURN",1,0,4,"SJKTLO = Program Low Occupancy MSAN Combo Jakarta (Internet Only)",2,"SJKTLO-INETR1M1- Low Occupancy MSAN Combo 195000",0,0,"2P-NETIZEN (POTS-INTERNET)","g. 7-8 thn",1024,0,"GAN","NON FIBER",0,"20GB-100 GB",0
473831,79279791837,33642001,0,"NON CHURN",1,0,4,"C16116 = Netizen Dinamic Price 2P INTERNET",5,"C16116 - INETF10M - Student 288000",0,0,"3P (POTS-INTERNET-IPTV)","f. 5-6 thn",10240,0,"PSM","FIBER",0,"20GB-100 GB",0
346500,16716510947,5890500,0,"NON CHURN",1,4,4,"C17052 = CS17 - New Indihome Netizen II INET ( without MOVIN)",6,"C17052-INETF10M-NETIZEN II 195000",0,0,"3P (POTS-INTERNET-IPTV)","d. 1-2 thn",10240,0,"KRG","FIBER",0,"< 20GB",0
386662,250743000000,48719412,0,"NON CHURN",1,1,4,"C17032 = CS17 - New Indihome Netizen I INET (with MOVIN)",5,"C17032-INETF10M-Standard 195000",0,0,"3P (POTS-INTERNET-IPTV)","i. 11-15 thn",10240,0,"DEP","FIBER",0,">200 GB",0
396797,95383027436,9523128,0,"NON CHURN",1,6,4,"C18024 = CS18 - New Internet Indihome Penuh Berkah",7,"C18024-INETFL10M-210k 210000",1,0,"3P (POTS-INTERNET-IPTV)","e. 3-4 thn",10240,0,"SPT","FIBER",0,"20GB-100 GB",0
346463,3511299158,40189708,0,"NON CHURN",1,0,4,"C16116 = Netizen Dinamic Price 2P INTERNET",3,"C16116 - INETR3M3 - Standard 208000",0,0,"2P-NETIZEN (POTS-INTERNET)","h. 9-10 thn",3072,0,"PSR","FIBER",0,"< 20GB",0
539000,178760000000,9163000,0,"NON CHURN",1,3,4,"C18166 = CS18 - Sensasi Extra Akhir Tahun 2018 Internet",6,"C18166-INETFL30M-370k 370000",0,0,"3P (POTS-INTERNET-IPTV)","d. 1-2 thn",30720,0,"GAN","FIBER",0,"100GB-200GB",0
410724,131550000000,9446652,0,"NON CHURN",1,4,4,"C19044 = CS19 - IndiHome New Netizen 2 (INET + OTT)",8,"C19044-INETF10M-210k 210000",0,0,"3P (POTS-INTERNET-IPTV)","d. 1-2 thn",10240,0,"CID","FIBER",0,"100GB-200GB",0
451282,102987000000,26625638,0,"CHURN",1,0,4,"C15034 = CS - NON FTTH New Indihome Internet Super Winning Z1",6,"INETR3M : New Pemenangan 125000",0,0,"3P (POTS-INTERNET-IPTV)","f. 5-6 thn",3072,0,"CWA","NON FIBER",0,"100GB-200GB",0
385550,516338000000,9638750,0,"NON CHURN",1,2,4,"C18024 = CS18 - New Internet Indihome Penuh Berkah",6,"C18024-INETFL10M-210k 210000",0,0,"3P (POTS-INTERNET-IPTV)","e. 3-4 thn",10240,0,"BGG","FIBER",0,">200 GB",0
656700,218003000000,72237000,0,"NON CHURN",1,0,4,"C15004 = CS - FTTH New Indihome Internet Super Winning Z1",10,"INETR10M : New Pemenangan 210000",4,0,"3P (POTS-INTERNET-IPTV)","h. 9-10 thn",10240,0,"PKY","FIBER",0,">200 GB",0
427985,230862000000,13695520,0,"NON CHURN",1,4,4,"C17086 = CS17 - IndiHome Promo NaRu 2017 (INET)",5,"C17086-INETFL10M-Standard 180000",1,0,"3P (POTS-INTERNET-IPTV)","e. 3-4 thn",10240,0,"CPP","FIBER",0,">200 GB",0
663300,124016000000,40461300,0,"NON CHURN",1,0,4,"INDI25 = New Indihome Pemenangan Internet Super Winning Z1",8,"INDI25-INETR10M1-IndiHome Pemenangan 250000",1,0,"3P (POTS-INTERNET-IPTV)","f. 5-6 thn",10240,0,"PKY","FIBER",0,"100GB-200GB",0
379500,72104635177,11385000,0,"NON CHURN",1,0,4,"C17029 = CS17 - New Indihome Lower Value INET",4,"C17029-INETF10M-Revisi 1 190000",0,0,"3P (POTS-INTERNET-IPTV)","e. 3-4 thn",10240,0,"BEK","FIBER",0,"20GB-100 GB",0
368500,44651164086,15845500,0,"NON CHURN",1,2,4,"C17052 = CS17 - New Indihome Netizen II INET ( without MOVIN)",4,"C17052-INETF10M-NETIZEN II 195000",0,0,"3P (POTS-INTERNET-IPTV)","e. 3-4 thn",10240,0,"PDM","FIBER",0,"20GB-100 GB",0
560985,105785000000,8414775,0,"NON CHURN",1,0,4,"C19027 = CS19 - IndiHome Value INET + OTT",9,"C19027-INETF10M-200k 200000",1,0,"3P (POTS-INTERNET-IPTV)","d. 1-2 thn",10240,0,"TBE","FIBER",0,"100GB-200GB",0
480892,353029000000,25487276,0,"NON CHURN",1,3,4,"C17048 = CS17-Program Upgrade Speed Baru",6,"C17048-INETF20M-Upgrade Speed Baru 290000",0,0,"3P (POTS-INTERNET-IPTV)","f. 5-6 thn",20480,0,"CPD","FIBER",0,">200 GB",0
451000,44504411838,16236000,0,"NON CHURN",1,5,4,"C19156 = CS19 - Program Upgrade IndiHome - INET",6,"C19156-INETF20M-Upgrade IndiHome Opsi 1_210k 210000",0,0,"3P (POTS-INTERNET-IPTV)","e. 3-4 thn",10240,1,"CBI","FIBER",0,"20GB-100 GB",0
286000,28790706276,27170000,0,"NON CHURN",1,0,4,"C16116 = Netizen Dinamic Price 2P INTERNET",3,"C16116 - INETR1M3 - Dinamic Price 208000",0,0,"2P-NETIZEN (POTS-INTERNET)","g. 7-8 thn",1024,0,"CPA","NON FIBER",0,"20GB-100 GB",0
357500,173599000000,9295000,0,"NON CHURN",1,1,4,"C17052 = CS17 - New Indihome Netizen II INET ( without MOVIN)",5,"C17052-INETF10M-NETIZEN II 195000",0,0,"3P (POTS-INTERNET-IPTV)","e. 3-4 thn",10240,0,"TPR","FIBER",0,"100GB-200GB",0
